unit_code,ACTCompositeScore_UNCMin_LEP,ACTEnglish_ACTBenchmark_LEP,ACTMath_ACTBenchmark_LEP,ACTReading_ACTBenchmark_LEP,ACTScience_ACTBenchmark_LEP,ACTSubtests_BenchmarksMet_LEP,ACTWorkKeys_SilverPlus_LEP,ACTWriting_ACTBenchmark_LEP,EOCBiology_CACR_LEP,EOCBiology_GLP_LEP,EOCEnglish2_CACR_LEP,EOCEnglish2_GLP_LEP,EOCMathI_CACR_LEP,EOCMathI_GLP_LEP,EOCSubjects_CACR_LEP,EOCSubjects_GLP_LEP,EOG/EOCSubjects_CACR_LEP,EOG/EOCSubjects_GLP_LEP,EOGGr3_CACR_LEP,EOGGr3_GLP_LEP,EOGGr4_CACR_LEP,EOGGr4_GLP_LEP,EOGGr5_CACR_LEP,EOGGr5_GLP_LEP,EOGGr6_CACR_LEP,EOGGr6_GLP_LEP,EOGGr7_CACR_LEP,EOGGr7_GLP_LEP,EOGGr8_CACR_LEP,EOGGr8_GLP_LEP,EOGMathGr3_CACR_LEP,EOGMathGr3_GLP_LEP,EOGMathGr3-8_CACR_LEP,EOGMathGr3-8_GLP_LEP,EOGMathGr4_CACR_LEP,EOGMathGr4_GLP_LEP,EOGMathGr5_CACR_LEP,EOGMathGr5_GLP_LEP,EOGMathGr6_CACR_LEP,EOGMathGr6_GLP_LEP,EOGMathGr7_CACR_LEP,EOGMathGr7_GLP_LEP,EOGMathGr8_CACR_LEP,EOGMathGr8_GLP_LEP,EOGReadingGr3_CACR_LEP,EOGReadingGr3_GLP_LEP,EOGReadingGr3-8_CACR_LEP,EOGReadingGr3-8_GLP_LEP,EOGReadingGr4_CACR_LEP,EOGReadingGr4_GLP_LEP,EOGReadingGr5_CACR_LEP,EOGReadingGr5_GLP_LEP,EOGReadingGr6_CACR_LEP,EOGReadingGr6_GLP_LEP,EOGReadingGr7_CACR_LEP,EOGReadingGr7_GLP_LEP,EOGReadingGr8_CACR_LEP,EOGReadingGr8_GLP_LEP,EOGScienceGr5_CACR_LEP,EOGScienceGr5_GLP_LEP,EOGScienceGr5&8_CACR_LEP,EOGScienceGr5&8_GLP_LEP,EOGScienceGr8_CACR_LEP,EOGScienceGr8_GLP_LEP,EOGSubjects_CACR_LEP,EOGSubjects_GLP_LEP,GraduationRate_4yr_LEP,GraduationRate_5yr_LEP
010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,7.9,13.2,0.0,0.0,0.0,10.6,0.0,9.3,11.3,17.5,25.6,38.7,7.0,11.8,7.1,9.2,0.0,5.8,0.0,5.3,5.8,10.7,25.1,41.6,13.6,21.2,8.8,12.5,14.9,16.0,0.0,8.1,5.8,8.1,0.0,0.0,26.1,35.7,11.5,17.1,5.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,5.3,7.4,10.2,15.2,14.6,22.3,12.3,18.7,35.8,44.9
010303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
010304,,,,,,,,,,,,,,,,,19.6,30.4,30.0,40.0,0.0,10.0,0.0,16.7,,,,,,,33.3,40.0,22.7,27.3,0.0,0.0,0.0,0.0,,,,,,,26.7,40.0,18.2,31.8,0.0,20.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,19.6,30.4,,
010308,,,,,,,,,,,,,,,,,43.8,62.5,70.0,90.0,0.0,16.7,0.0,0.0,,,,,,,60.0,80.0,37.5,62.5,0.0,0.0,0.0,0.0,,,,,,,80.0,100.0,50.0,62.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,43.8,62.5,,
010310,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,8.6,9.9,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,22.2,25.9,22.2,25.9,0.0,0.0,,
010312,,,,,,,,,,,,,,,,,40.0,40.0,50.0,50.0,0.0,0.0,0.0,0.0,,,,,,,44.4,44.4,41.7,41.7,0.0,0.0,0.0,0.0,,,,,,,55.6,55.6,41.7,41.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,40.0,40.0,,
010320,,,,,,,,,,,,,,,,,33.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,33.3,100.0,,
010324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,37.5,14.3,14.3,16.7,16.7,23.8,23.8,23.8,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
010326,,,,,,,,,,,,,,,,,7.2,13.8,11.5,23.1,7.9,13.2,0.0,0.0,,,,,,,15.4,30.8,11.5,19.7,10.5,15.8,6.3,6.3,,,,,,,7.7,15.4,0.0,11.5,5.3,10.5,0.0,6.3,,,,,,,0.0,0.0,0.0,0.0,,,7.2,13.8,,
010328,,,,,,,,,,,,,,,,,44.4,55.6,66.7,66.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,44.4,55.6,,
