unit_code,ACTCompositeScore_UNCMin_Asian,ACTEnglish_ACTBenchmark_Asian,ACTMath_ACTBenchmark_Asian,ACTReading_ACTBenchmark_Asian,ACTScience_ACTBenchmark_Asian,ACTSubtests_BenchmarksMet_Asian,ACTWorkKeys_SilverPlus_Asian,ACTWriting_ACTBenchmark_Asian,EOCBiology_CACR_Asian,EOCBiology_GLP_Asian,EOCEnglish2_CACR_Asian,EOCEnglish2_GLP_Asian,EOCMathI_CACR_Asian,EOCMathI_GLP_Asian,EOCSubjects_CACR_Asian,EOCSubjects_GLP_Asian,EOG/EOCSubjects_CACR_Asian,EOG/EOCSubjects_GLP_Asian,EOGGr3_CACR_Asian,EOGGr3_GLP_Asian,EOGGr4_CACR_Asian,EOGGr4_GLP_Asian,EOGGr5_CACR_Asian,EOGGr5_GLP_Asian,EOGGr6_CACR_Asian,EOGGr6_GLP_Asian,EOGGr7_CACR_Asian,EOGGr7_GLP_Asian,EOGGr8_CACR_Asian,EOGGr8_GLP_Asian,EOGMathGr3_CACR_Asian,EOGMathGr3_GLP_Asian,EOGMathGr3-8_CACR_Asian,EOGMathGr3-8_GLP_Asian,EOGMathGr4_CACR_Asian,EOGMathGr4_GLP_Asian,EOGMathGr5_CACR_Asian,EOGMathGr5_GLP_Asian,EOGMathGr6_CACR_Asian,EOGMathGr6_GLP_Asian,EOGMathGr7_CACR_Asian,EOGMathGr7_GLP_Asian,EOGMathGr8_CACR_Asian,EOGMathGr8_GLP_Asian,EOGReadingGr3_CACR_Asian,EOGReadingGr3_GLP_Asian,EOGReadingGr3-8_CACR_Asian,EOGReadingGr3-8_GLP_Asian,EOGReadingGr4_CACR_Asian,EOGReadingGr4_GLP_Asian,EOGReadingGr5_CACR_Asian,EOGReadingGr5_GLP_Asian,EOGReadingGr6_CACR_Asian,EOGReadingGr6_GLP_Asian,EOGReadingGr7_CACR_Asian,EOGReadingGr7_GLP_Asian,EOGReadingGr8_CACR_Asian,EOGReadingGr8_GLP_Asian,EOGScienceGr5_CACR_Asian,EOGScienceGr5_GLP_Asian,EOGScienceGr5&8_CACR_Asian,EOGScienceGr5&8_GLP_Asian,EOGScienceGr8_CACR_Asian,EOGScienceGr8_GLP_Asian,EOGSubjects_CACR_Asian,EOGSubjects_GLP_Asian,GraduationRate_4yr_Asian,GraduationRate_5yr_Asian
010,77.3,63.6,63.6,45.5,45.5,53.6,90.0,50.0,80.0,86.7,65.4,73.1,67.4,79.1,70.7,79.8,67.1,75.3,62.0,72.0,67.4,71.7,62.7,76.0,50.0,57.7,73.3,78.3,71.9,77.2,64.0,76.0,70.4,74.8,69.6,69.6,84.0,88.0,38.5,46.2,76.7,80.0,73.7,73.7,60.0,68.0,61.5,72.6,65.2,73.9,48.0,72.0,61.5,69.2,70.0,76.7,63.2,73.7,56.0,68.0,65.9,75.0,78.9,84.2,65.9,73.9,86.2,87.5
010303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
010304,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
010308,,,,,,,,,,,,,,,,,80.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,80.0,100.0,,
010310,,,,,,,,,,,,,0.0,0.0,0.0,0.0,16.7,16.7,,,,,,,0.0,0.0,25.0,25.0,0.0,0.0,,,16.7,16.7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,16.7,16.7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,16.7,16.7,,
010312,,,,,,,,,,,,,,,,,82.4,88.2,58.3,66.7,93.8,100.0,100.0,100.0,,,,,,,66.7,66.7,87.5,87.5,100.0,100.0,0.0,0.0,,,,,,,50.0,66.7,75.0,87.5,87.5,100.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,82.4,88.2,,
010320,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
010324,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,88.9,77.8,88.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
010326,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
010328,,,,,,,,,,,,,,,,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,100.0,100.0,,
