unit_code,pct_GCE_ALL,pct_GCE_LEP,pct_GCE_PRM,pct_GCE_RPF,pct_GCE_SWD,pct_PASSED_EOG,pct_PASSED_LAA,pct_PASSED_RTA,pct_PROMOTED,pct_RETAINED
410388,0.047,,,,,0.741,,,0.871,0.129
410398,1.0,0.95,,,,,,,0.95,
410400,0.057,,,,,0.509,0.27399999999999997,,0.887,0.113
410403,0.18,,,,0.18,0.34,,0.12,0.68,0.32
410409,0.157,,,,0.157,0.337,0.16899999999999998,,0.711,0.289
410412,0.126,,,,0.11699999999999999,0.45899999999999996,0.09,,0.73,0.27
410418,0.091,,,,0.091,0.409,0.28800000000000003,,0.848,0.152
410423,0.113,,,,0.094,0.594,0.198,,0.943,0.057
410424,0.047,,,,,0.6940000000000001,,0.059000000000000004,0.8590000000000001,0.141
410427,0.133,,,,0.133,0.42200000000000004,,,0.711,0.289
410430,0.065,,,,0.065,0.605,0.055999999999999994,,0.7979999999999999,0.20199999999999999
410436,0.163,,,,0.163,0.469,0.14300000000000002,,0.8370000000000001,0.163
410439,0.040999999999999995,,,,,0.408,0.122,,0.6729999999999999,0.327
410451,0.147,,,,0.147,0.662,,,0.9259999999999999,0.07400000000000001
410454,0.129,,,,,0.419,0.19399999999999998,,0.8059999999999999,0.19399999999999998
410457,1.0,,,,0.95,,,,0.95,
410461,0.079,,,,0.079,0.413,0.20600000000000002,,0.746,0.254
410462,0.053,,,,,0.368,0.175,,0.6579999999999999,0.342
410464,1.0,,,,,,,,,
410466,0.055999999999999994,,,,,0.722,,,0.889,0.111
410469,0.079,,,,0.069,0.495,0.139,0.059000000000000004,0.792,0.20800000000000002
410472,0.035,,,,,0.7909999999999999,,,0.93,0.07
410478,0.064,,,,,0.40399999999999997,0.128,0.106,0.809,0.191
410481,0.1,,,,,0.5,,,0.825,0.175
410486,0.099,,,,0.099,0.8420000000000001,,,0.95,
410491,0.059000000000000004,,,,0.059000000000000004,0.857,,0.05,0.95,
410496,0.057999999999999996,,,,,0.466,0.223,,0.767,0.233
410499,0.038,,,,,0.37200000000000005,0.244,0.064,0.731,0.26899999999999996
410502,0.024,,,,,0.8079999999999999,0.152,,0.95,
410505,0.077,,,,0.077,0.484,0.14300000000000002,0.066,0.7909999999999999,0.209
410511,0.183,,,,0.183,0.3,0.15,,0.667,0.33299999999999996
410514,0.125,,,,0.125,0.391,0.141,0.078,0.7659999999999999,0.23399999999999999
410517,0.19,,,,0.19,0.414,0.22399999999999998,,0.845,0.155
410522,0.084,,,,0.084,0.542,0.053,0.061,0.779,0.221
410523,0.152,,,,0.152,0.636,,,0.8640000000000001,0.136
410530,0.107,,,,0.107,0.507,0.107,0.08,0.813,0.187
410532,0.10800000000000001,,,,0.1,0.35,0.057999999999999996,0.067,0.617,0.38299999999999995
410535,0.10800000000000001,,,,0.095,0.486,,0.122,0.757,0.243
410538,0.163,,,,0.14300000000000002,0.337,0.051,0.071,0.755,0.245
410541,0.113,,,,0.07200000000000001,0.66,,,0.897,0.10300000000000001
410542,0.092,,,,0.092,0.42100000000000004,0.184,,0.737,0.263
410553,0.05,,,,,0.65,0.11699999999999999,,0.867,0.133
410559,0.049,,,,,0.754,0.08199999999999999,,0.902,0.098
410568,0.033,,,,,0.8,0.11699999999999999,,0.95,
410571,0.043,,,,,0.797,0.11599999999999999,,0.95,
410574,0.055,,,,,0.845,,,0.95,
410577,0.12,,,,0.10300000000000001,0.282,,0.068,0.573,0.42700000000000005
410578,0.10300000000000001,,,,0.10300000000000001,0.5379999999999999,0.26899999999999996,,0.9359999999999999,0.064
410580,0.2,,,,0.18600000000000003,0.429,0.071,,0.8,0.2
410583,0.135,,,,0.135,0.519,0.096,,0.8079999999999999,0.192
410586,0.13,,,,0.13,0.478,0.109,,0.7829999999999999,0.217
410598,0.038,,,,,0.302,0.17,,0.642,0.358
41B000,0.012,,,,,0.821,0.155,,0.95,
41C000,0.63,,,0.63,,0.37,,,0.95,
41D000,0.011000000000000001,,,,,0.617,0.23399999999999999,,0.883,0.11699999999999999
41F000,0.025,,,,,0.613,,,0.688,0.313
41G000,0.253,,,0.228,,0.633,,,0.9490000000000001,
41H000,0.0,,,,,0.5710000000000001,0.2,,0.8859999999999999,
41J000,0.0,,,,,0.69,0.131,,0.833,0.16699999999999998
420304,0.10099999999999999,,,,0.10099999999999999,0.42,0.188,,0.7829999999999999,0.217
420316,0.0,,,,,0.455,,,0.818,
420328,0.0,,,,,0.45799999999999996,,,0.583,0.41700000000000004
420336,0.125,,,,,0.5,,,0.7190000000000001,0.281
420340,0.0,,,,,0.377,0.17,,0.604,0.396
420348,0.0,,,,,0.696,,,0.9129999999999999,
420356,0.0,,,,,0.43799999999999994,,,0.563,0.43799999999999994
421304,0.107,,,,0.068,0.583,0.068,,0.8740000000000001,0.126
421328,0.092,,,,0.083,0.45,0.15,,0.792,0.20800000000000002
422314,0.013000000000000001,,,,,0.321,0.077,,0.615,0.385
430308,0.078,,,,,0.409,0.188,,0.708,0.292
430312,0.044000000000000004,,,,,0.456,0.20600000000000002,,0.794,0.20600000000000002
430316,0.02,,,,,0.52,0.22399999999999998,,0.7759999999999999,0.22399999999999998
430320,0.073,,,,,0.5820000000000001,0.309,,0.95,
430328,0.028999999999999998,,,,,0.436,0.293,,0.7859999999999999,0.214
430336,0.057,,,,0.057,0.506,0.195,,0.77,0.23
430344,0.08800000000000001,,,,0.081,0.39,0.132,,0.669,0.331
430348,0.057,,,,,0.377,0.17,,0.698,0.302
430349,0.048,,,,,0.721,0.102,,0.9179999999999999,0.08199999999999999
430352,0.042,,,,,0.602,0.24600000000000002,,0.89,0.11
430358,0.127,,,,0.11800000000000001,0.42700000000000005,0.2,,0.809,0.191
430369,0.044000000000000004,,,,,0.522,0.11,,0.728,0.272
430376,0.04,,,,,0.529,0.057,,0.695,0.305
43C000,0.129,,,,,0.871,,,0.95,
440314,0.071,,,,0.071,0.726,0.071,0.071,0.95,
440324,0.132,,,,0.113,0.5660000000000001,0.151,,0.887,0.113
440328,0.111,,,,0.099,0.679,0.062,,0.9259999999999999,0.07400000000000001
440332,0.152,,,,0.152,0.7879999999999999,,,0.95,
440348,0.113,,,,0.113,0.625,0.063,0.063,0.875,0.125
