unit_code,ACTCompositeScore_UNCMin_LEP,ACTEnglish_ACTBenchmark_LEP,ACTMath_ACTBenchmark_LEP,ACTReading_ACTBenchmark_LEP,ACTScience_ACTBenchmark_LEP,ACTSubtests_BenchmarksMet_LEP,ACTWorkKeys_SilverPlus_LEP,ACTWriting_ACTBenchmark_LEP,EOCBiology_CACR_LEP,EOCBiology_GLP_LEP,EOCEnglish2_CACR_LEP,EOCEnglish2_GLP_LEP,EOCMathI_CACR_LEP,EOCMathI_GLP_LEP,EOCSubjects_CACR_LEP,EOCSubjects_GLP_LEP,EOG/EOCSubjects_CACR_LEP,EOG/EOCSubjects_GLP_LEP,EOGGr3_CACR_LEP,EOGGr3_GLP_LEP,EOGGr4_CACR_LEP,EOGGr4_GLP_LEP,EOGGr5_CACR_LEP,EOGGr5_GLP_LEP,EOGGr6_CACR_LEP,EOGGr6_GLP_LEP,EOGGr7_CACR_LEP,EOGGr7_GLP_LEP,EOGGr8_CACR_LEP,EOGGr8_GLP_LEP,EOGMathGr3_CACR_LEP,EOGMathGr3_GLP_LEP,EOGMathGr3-8_CACR_LEP,EOGMathGr3-8_GLP_LEP,EOGMathGr4_CACR_LEP,EOGMathGr4_GLP_LEP,EOGMathGr5_CACR_LEP,EOGMathGr5_GLP_LEP,EOGMathGr6_CACR_LEP,EOGMathGr6_GLP_LEP,EOGMathGr7_CACR_LEP,EOGMathGr7_GLP_LEP,EOGMathGr8_CACR_LEP,EOGMathGr8_GLP_LEP,EOGReadingGr3_CACR_LEP,EOGReadingGr3_GLP_LEP,EOGReadingGr3-8_CACR_LEP,EOGReadingGr3-8_GLP_LEP,EOGReadingGr4_CACR_LEP,EOGReadingGr4_GLP_LEP,EOGReadingGr5_CACR_LEP,EOGReadingGr5_GLP_LEP,EOGReadingGr6_CACR_LEP,EOGReadingGr6_GLP_LEP,EOGReadingGr7_CACR_LEP,EOGReadingGr7_GLP_LEP,EOGReadingGr8_CACR_LEP,EOGReadingGr8_GLP_LEP,EOGScienceGr5_CACR_LEP,EOGScienceGr5_GLP_LEP,EOGScienceGr5&8_CACR_LEP,EOGScienceGr5&8_GLP_LEP,EOGScienceGr8_CACR_LEP,EOGScienceGr8_GLP_LEP,EOGSubjects_CACR_LEP,EOGSubjects_GLP_LEP,GraduationRate_4yr_LEP,GraduationRate_5yr_LEP
600433,,,,,,,,,,,,,,,,,37.8,45.9,72.2,83.3,10.0,10.0,0.0,11.1,,,,,,,77.8,88.9,47.1,58.8,20.0,20.0,0.0,0.0,,,,,,,66.7,77.8,35.3,41.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,37.8,45.9,,
600434,,,,,,,,,,,,,0.0,0.0,0.0,0.0,13.5,20.2,,,,,,,7.9,13.2,8.9,12.5,21.2,28.8,,,7.2,11.6,,,,,10.5,15.8,7.1,10.7,0.0,9.1,,,7.2,10.1,,,,,5.3,10.5,10.7,14.3,0.0,0.0,,,54.5,72.7,54.5,72.7,13.8,19.4,,
600436,,,,,,,,,,,,,,,,,16.9,32.4,17.6,35.3,6.3,6.3,23.8,47.6,,,,,,,17.6,41.2,15.6,31.3,12.5,12.5,14.3,28.6,,,,,,,17.6,29.4,12.5,21.9,0.0,0.0,14.3,28.6,,,,,,,42.9,85.7,42.9,85.7,,,16.9,32.4,,
600437,,,,,,,,,,,,,,,,,45.8,50.0,41.7,50.0,16.7,16.7,83.3,83.3,,,,,,,33.3,50.0,45.5,54.5,0.0,0.0,0.0,0.0,,,,,,,50.0,50.0,36.4,36.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,45.8,50.0,,
600438,,,,,,,,,,,,,,,,,6.3,9.4,10.0,15.0,0.0,0.0,0.0,0.0,,,,,,,20.0,20.0,12.5,12.5,0.0,0.0,0.0,0.0,,,,,,,0.0,10.0,0.0,6.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,6.3,9.4,,
600439,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,11.1,,,,,,,0.0,0.0,10.0,10.0,0.0,16.7,,,11.1,11.1,,,,,0.0,0.0,20.0,20.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.0,10.0,,
600440,,,,,,,,,,,,,,,,,25.4,35.6,35.7,48.2,5.0,10.0,21.4,31.0,,,,,,,53.6,64.3,44.2,51.9,10.0,20.0,50.0,50.0,,,,,,,17.9,32.1,9.6,19.2,0.0,0.0,0.0,7.1,,,,,,,14.3,35.7,14.3,35.7,,,25.4,35.6,,
600442,,,,,,,,,,,,,,,,,19.0,31.0,32.7,51.0,11.8,20.6,6.1,12.1,,,,,,,40.0,48.0,24.5,35.8,11.8,29.4,9.1,18.2,,,,,,,25.0,54.2,17.3,30.8,11.8,11.8,9.1,9.1,,,,,,,0.0,9.1,0.0,9.1,,,19.0,31.0,,
600444,,,,,,,,,,,,,,,,,12.5,25.0,25.0,37.5,0.0,0.0,0.0,16.7,,,,,,,0.0,0.0,14.3,14.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,14.3,28.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,12.5,25.0,,
600445,20.0,0.0,20.0,0.0,0.0,8.0,0.0,20.0,0.0,0.0,50.0,60.0,11.8,17.6,26.7,33.3,26.7,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,75.0
