unit_code,pct_GCE_ALL,pct_GCE_LEP,pct_GCE_PRM,pct_GCE_RPF,pct_GCE_SWD,pct_PASSED_EOG,pct_PASSED_LAA,pct_PASSED_RTA,pct_PROMOTED,pct_RETAINED
010304,0.076,,,,,0.5870000000000001,0.196,,0.88,0.12
010308,0.04,,,,,0.616,0.303,,0.95,
010312,0.05,,,,,0.78,0.09,,0.94,0.06
010320,0.22699999999999998,,,0.136,,0.636,,,0.95,
010326,0.16,,,,0.107,0.293,0.24,,0.72,0.28
010328,0.034,,,,,0.6809999999999999,0.147,,0.871,0.129
010340,0.078,,,,0.069,0.569,0.20600000000000002,,0.912,0.08800000000000001
010346,0.087,,,,0.07200000000000001,0.58,0.188,,0.87,0.13
010347,0.08199999999999999,,,,,0.564,0.218,,0.9,0.1
010351,0.133,,,,0.067,0.35600000000000004,0.256,,0.833,0.16699999999999998
010354,0.113,,,,0.08900000000000001,0.331,0.185,,0.6609999999999999,0.33899999999999997
010357,0.08,,,,,0.413,0.213,,0.7070000000000001,0.293
010358,0.095,,,,0.081,0.43200000000000005,0.243,,0.8109999999999999,0.18899999999999997
010362,0.022000000000000002,,,,,0.785,0.086,,0.914,0.086
010364,0.071,,,,,0.48200000000000004,0.179,,0.7859999999999999,0.214
010372,0.14300000000000002,,,,,0.486,0.2,,0.8859999999999999,
010374,0.07400000000000001,,,,0.063,0.45299999999999996,0.179,,0.779,0.221
010380,0.20199999999999999,,,0.131,0.071,0.475,,,0.747,0.253
010384,0.071,,,,0.071,0.735,0.102,,0.929,0.071
010392,0.24,,,0.14,0.1,0.64,,,0.92,
01B000,0.021,,,,,0.723,,,0.915,
01C000,0.043,,,,,0.7170000000000001,0.174,,0.935,
020304,0.179,,,0.107,0.071,0.726,0.083,,0.95,
020308,0.015,,,,,0.647,0.221,,0.912,0.08800000000000001
020316,0.078,,,,0.078,0.578,0.244,,0.95,
020320,0.133,,,,,0.5329999999999999,0.33299999999999996,,0.95,
020324,0.0,,,,,0.711,0.237,,0.9470000000000001,
020328,0.078,,,,,0.608,0.294,,0.95,
020332,0.043,,,,,0.638,0.298,,0.95,
030308,0.261,,,0.217,,0.609,,,0.95,
030316,0.174,,,,,0.7829999999999999,,,0.95,
030320,0.35200000000000004,,,0.315,,0.574,,,0.9440000000000001,
040308,0.094,,,,,0.688,0.156,,0.95,
040311,0.099,,,,0.055,0.40700000000000003,0.275,,0.835,0.165
040316,0.098,,,,,0.39,0.317,,0.8290000000000001,0.171
040324,0.258,,,,,0.258,0.452,,0.95,
040328,0.061,,,,,0.636,0.273,,0.95,
050310,0.188,,,0.087,0.10099999999999999,0.551,0.145,,0.884,0.11599999999999999
050330,0.096,,,,,0.685,0.17800000000000002,,0.95,
050335,0.086,,,,0.065,0.677,0.172,,0.946,0.054000000000000006
060304,0.33299999999999996,,,,,0.619,,,0.95,
060316,0.114,,,,,0.8859999999999999,,,0.95,
060322,0.441,,,0.382,,0.5,,,0.95,
060328,0.406,,,0.25,0.156,0.594,,,0.95,
060332,0.5,,,0.45,,0.3,,,0.8,
06B000,0.0,,,,,,,,,
070308,0.159,,,0.127,,0.698,,,0.905,0.095
070326,0.036000000000000004,,,,,0.7859999999999999,0.125,,0.95,
070327,0.07,,,,0.06,0.513,0.163,,0.83,0.17
070329,0.063,,,,,0.479,0.20800000000000002,,0.792,0.20800000000000002
070340,0.0,,,,,0.375,,,0.5,0.5
07A000,0.132,,,,,0.763,,,0.95,
080348,0.0,,,,,0.552,,,0.7240000000000001,0.276
080356,0.044000000000000004,,,,,0.35600000000000004,,0.133,0.622,0.37799999999999995
080360,0.0,,,,,0.5,0.2,,0.733,0.267
080362,0.057,,,,,0.414,0.171,,0.643,0.35700000000000004
