unit_code,pct_GCE_ALL,pct_GCE_LEP,pct_GCE_PRM,pct_GCE_RPF,pct_GCE_SWD,pct_PASSED_EOG,pct_PASSED_LAA,pct_PASSED_RTA,pct_PROMOTED,pct_RETAINED
00A000,0.063,,,,,0.674,,,0.8109999999999999,0.18899999999999997
00B000,0.0,,,,,0.55,,,0.595,0.405
010304,0.131,,,,,0.607,,,0.81,0.19
010308,0.214,,,0.165,,0.7090000000000001,,,0.95,
010312,0.114,,,,,0.65,,,0.894,0.106
010320,0.304,,,,,0.5870000000000001,,,0.935,
010326,0.061,,,,,0.354,0.22,,0.695,0.305
010328,0.028999999999999998,,,,,0.767,,,0.893,0.107
010340,0.046,,,,,0.5920000000000001,,,0.823,0.177
010346,0.075,,,,,0.5820000000000001,,,0.7609999999999999,0.239
010347,0.177,,,,0.09699999999999999,0.619,,,0.9470000000000001,
010351,0.31,,,0.21600000000000003,0.086,0.22399999999999998,,,0.647,0.353
010354,0.154,,,,0.121,0.363,0.121,,0.747,0.253
010357,0.175,,,0.134,,0.34,,,0.722,0.278
010358,0.05,,,,,0.436,0.297,,0.861,0.139
010362,0.095,,,,,0.705,,,0.905,
010364,0.293,,,0.19,,0.379,,,0.879,
010372,0.212,,,,,0.515,,,0.848,
010374,0.214,,,0.133,,0.408,,,0.7859999999999999,0.214
010378,0.0,,,,,,,,,
010380,0.091,,,,,0.495,0.131,,0.727,0.273
010384,0.08800000000000001,,,,0.08800000000000001,0.655,,,0.8759999999999999,0.124
010392,0.28,,,,,0.46,,,0.82,
01B000,0.23399999999999999,,,0.21899999999999997,,0.75,,,0.95,
01C000,0.059000000000000004,,,,,0.667,0.21600000000000003,,0.941,
020304,0.08199999999999999,,,,,0.635,0.212,,0.95,
020308,0.08900000000000001,,,,,0.732,,,0.95,
020316,0.192,,,,,0.466,0.21899999999999997,,0.904,
020320,0.071,,,,,0.5,0.262,,0.833,
020324,0.019,,,,,0.585,0.34,,0.95,
020328,0.02,,,,,0.76,,,0.94,
020332,0.259,,,,,0.648,,,0.95,
030308,0.48100000000000004,,,,,0.519,,,0.95,
030316,0.0,,,,,0.889,,,0.95,
030320,0.242,,,0.16699999999999998,,0.682,,,0.9390000000000001,
040308,0.05,,,,,0.8,,,0.85,
040311,0.165,,,0.11800000000000001,,0.294,0.271,,0.7759999999999999,0.22399999999999998
040316,0.429,,0.214,0.196,,0.33899999999999997,,,0.857,
040324,0.387,,,,,0.355,,,0.774,
040328,0.183,,,,,0.65,,,0.917,
050310,0.18600000000000003,,,,0.128,0.616,,,0.9420000000000001,
050330,0.281,,,0.125,0.156,0.615,,,0.95,
050335,0.065,,,,,0.61,,,0.857,0.14300000000000002
060304,0.44799999999999995,,,,,0.552,,,0.95,
060316,0.26899999999999996,,,,,0.731,,,0.95,
060322,0.20600000000000002,,,,,0.647,,,0.882,
060328,0.439,,,0.33299999999999996,,0.544,,,0.95,
060332,0.4,,,,,0.6,,,0.95,
06B000,0.111,,,,,,,,,
070308,0.231,,,0.16899999999999998,,0.6920000000000001,,,0.95,
070326,0.25,,,0.192,,0.6920000000000001,,,0.95,
070327,0.17600000000000002,,,0.095,0.081,0.528,,,0.835,0.165
070329,0.0,,,,,0.40399999999999997,0.263,,0.754,0.24600000000000002
070340,0.474,,,,,,,,0.8420000000000001,
07A000,0.375,,,0.325,,0.575,,,0.95,
080348,0.045,,,,,0.591,,,0.909,
080356,0.0,,,,,0.4,,,0.778,0.222
080360,0.121,,,,,0.424,,,0.7879999999999999,
080362,0.19399999999999998,,,,,0.46799999999999997,,,0.855,
08A000,0.0,,,,,0.305,,,0.441,0.5589999999999999
090304,0.053,,,,,0.395,,,0.763,
090317,0.10800000000000001,,,,,0.486,0.203,,0.865,0.135
090318,0.14800000000000002,,,,,0.556,0.185,,0.889,
090324,0.218,,,0.2,,0.6,,,0.95,
090328,0.0,,,,,,,,,0.591
090333,0.38,,,0.24,0.1,0.34,,,0.88,0.12
090352,0.132,,,,,0.5,,,0.895,
100302,0.174,,,0.071,0.09699999999999999,0.5479999999999999,,,0.903,0.09699999999999999
100304,0.195,,,0.134,,0.585,,,0.927,
100310,0.35200000000000004,,,0.282,,0.493,,,0.95,
100320,0.252,,,,0.168,0.45799999999999996,,,0.8320000000000001,0.168
100336,0.17800000000000002,,,,0.099,0.604,0.20800000000000002,,0.95,
